src_ip,dst_ip,flow_duration,flow_packet_size,flow_speed,flow_pkts_speed,flow_pkt_type,packets,label,time
10.79.136.138,10.93.7.209,1,73,4,56,ICMP,[],normal,1
10.89.250.125,10.50.154.4,1,147,2,13,UDP,[],normal,1
10.37.246.59,10.40.106.169,4,64,12,192,TCP,[],normal,1
10.71.151.241,10.46.11.31,1,197,9,46,TCP,[],normal,1
10.84.64.241,10.13.125.234,1,64,15,240,TCP,[],normal,1
10.70.50.141,10.6.226.249,1,463,8,17,ICMP,[],normal,1
10.86.53.159,10.80.207.109,2,64,17,272,TCP,[],normal,1
10.59.228.246,10.57.121.50,1,64,6,96,TCP,[],normal,1
10.20.98.123,10.94.214.36,2,108,17,161,TCP,[],normal,1
10.82.86.25,10.97.127.208,1,76,10,134,ICMP,[],normal,1
10.75.107.188,10.14.79.118,1,179,4,22,TCP,[],normal,1
10.92.157.85,10.14.21.179,2,144,8,56,TCP,[],normal,1
10.99.132.125,10.71.242.233,1,110,8,74,ICMP,[],normal,1
10.42.47.118,10.57.92.147,2,70,27,394,ICMP,[],normal,1
10.93.143.65,10.70.54.209,1,176,2,11,TCP,[],normal,1
10.99.55.164,10.36.173.26,1,150,2,13,UDP,[],normal,1
10.75.253.21,10.37.194.41,1,113,4,36,ICMP,[],normal,1
10.35.154.210,10.47.15.48,2,148,23,159,TCP,[],normal,1
10.95.144.238,10.77.224.64,1,115,18,160,TCP,[],normal,1
10.21.101.11,10.76.200.40,1,114,8,71,TCP,[],normal,1
10.0.254.216,10.98.250.124,4,64,7,112,ICMP,[],normal,1
10.20.98.233,10.10.124.98,1,114,5,44,UDP,[],normal,1
10.43.19.57,10.47.204.140,3,85,7,84,UDP,[],normal,1
10.27.62.11,10.47.201.201,1,123,19,158,UDP,[],normal,1
10.92.99.215,10.54.23.134,4,313,9,29,UDP,[],normal,1
10.83.174.178,10.74.185.97,1,64,29,464,TCP,[],normal,1
10.93.21.22,10.31.219.60,1,78,11,144,TCP,[],normal,1
10.2.12.199,10.28.186.41,3,71,2,28,UDP,[],normal,1
10.46.118.159,10.76.204.250,4,226,18,81,TCP,[],normal,1
10.97.249.124,10.35.149.152,1,110,8,74,TCP,[],normal,1
10.53.181.69,10.39.221.178,1,64,3,48,TCP,[],normal,1
10.87.211.112,10.88.252.200,1,64,1,16,TCP,[],normal,1
10.11.151.137,10.46.141.114,1,76,7,94,TCP,[],normal,1
10.87.36.171,10.83.23.90,1,64,6,96,UDP,[],normal,1
10.49.13.52,10.43.168.113,1,112,19,173,UDP,[],normal,1
10.24.243.136,10.63.156.165,1,102,3,30,UDP,[],normal,1
10.93.6.65,10.95.111.184,1,145,11,77,UDP,[],normal,1
10.61.233.54,10.34.38.98,1,64,9,144,TCP,[],normal,1
10.31.102.155,10.97.62.150,3,130,27,212,ICMP,[],normal,1
10.21.160.101,10.63.151.42,1,159,40,257,ICMP,[],normal,1
10.8.79.180,10.92.186.252,1,170,19,114,UDP,[],normal,1
10.71.15.156,10.42.38.116,1,64,4,64,TCP,[],normal,1
10.17.195.5,10.78.250.41,3,146,14,98,ICMP,[],normal,1
10.51.9.174,10.8.148.42,7,64,10,160,UDP,[],normal,1
10.49.129.239,10.13.128.10,4,116,4,35,UDP,[],normal,1
10.89.132.211,10.17.94.178,1,136,15,112,TCP,[],normal,1
10.5.155.107,10.50.48.111,5,92,14,155,TCP,[],normal,1
10.38.82.56,10.26.126.18,6,180,7,39,TCP,[],normal,1
10.25.78.253,10.12.181.50,5,72,17,241,TCP,[],normal,1
10.10.122.18,10.27.75.195,1,67,11,168,TCP,[],normal,1
10.13.104.238,10.74.237.113,2,67,17,259,TCP,[],normal,1
10.97.106.124,10.61.68.252,1,201,5,25,ICMP,[],normal,1
10.21.98.177,10.30.100.229,1,118,2,17,TCP,[],normal,1
10.39.68.185,10.38.104.128,3,160,3,19,UDP,[],normal,1
10.99.115.27,10.78.89.63,4,74,4,55,UDP,[],normal,1
10.22.207.100,10.55.25.217,1,164,16,99,TCP,[],normal,1
10.9.103.39,10.42.97.225,2,258,9,35,ICMP,[],normal,1
10.37.25.152,10.12.239.4,1,64,6,96,UDP,[],normal,1
10.50.72.213,10.16.236.1,6,64,17,272,ICMP,[],normal,1
10.10.235.113,10.46.223.55,1,72,4,56,UDP,[],normal,1
10.73.2.120,10.64.224.89,1,64,11,176,TCP,[],normal,1
10.52.75.209,10.90.118.131,2,64,2,32,TCP,[],normal,1
10.33.165.217,10.50.175.156,2,145,3,21,UDP,[],normal,1
10.70.200.121,10.16.134.81,1,148,3,20,UDP,[],normal,1
10.55.14.163,10.54.155.170,1,64,7,112,TCP,[],normal,1
10.28.234.252,10.48.194.42,1,82,7,87,UDP,[],normal,1
10.46.221.126,10.14.208.228,3,64,17,272,TCP,[],normal,1
10.96.172.250,10.4.255.34,1,64,6,96,UDP,[],normal,1
10.54.15.58,10.62.85.153,2,64,9,144,TCP,[],normal,1
10.14.237.37,10.23.235.38,1,116,14,123,TCP,[],normal,1
10.93.114.36,10.11.141.61,1,102,15,150,ICMP,[],normal,1
10.74.105.184,10.53.196.188,3,81,6,75,TCP,[],normal,1
10.61.119.2,10.68.148.203,3,114,25,224,TCP,[],normal,1
10.2.78.236,10.62.251.71,1,64,11,176,ICMP,[],normal,1
10.71.105.167,10.98.99.196,5,64,13,208,TCP,[],normal,1
10.47.96.200,10.3.97.124,1,64,19,304,UDP,[],normal,1
10.90.226.49,10.70.157.46,1,87,3,35,TCP,[],normal,1
10.5.93.231,10.33.139.252,1,96,1,10,TCP,[],normal,1
10.20.230.50,10.86.155.232,1,168,8,48,UDP,[],normal,1
10.0.108.7,10.6.111.216,1,64,7,112,ICMP,[],normal,1
10.23.109.121,10.90.54.162,1,140,3,21,TCP,[],normal,1
10.76.189.151,10.35.88.212,4,281,31,112,TCP,[],normal,1
10.40.182.231,10.26.70.151,1,64,1,16,UDP,[],normal,1
10.16.10.84,10.87.82.74,1,64,9,144,TCP,[],normal,1
10.59.111.67,10.33.19.252,1,64,14,224,TCP,[],normal,1
10.34.242.213,10.80.127.250,1,137,26,194,TCP,[],normal,1
10.95.199.42,10.7.59.19,1,64,5,80,TCP,[],normal,1
10.64.240.87,10.84.78.190,13,441,3,6,UDP,[],normal,1
10.63.26.235,10.86.84.65,4,145,5,35,UDP,[],normal,1
10.56.89.144,10.41.46.72,1,176,10,58,TCP,[],normal,1
10.6.145.33,10.16.88.24,1,64,45,720,TCP,[],normal,1
10.50.62.129,10.70.174.11,1,88,8,93,ICMP,[],normal,1
10.95.225.179,10.99.153.69,1,198,6,31,TCP,[],normal,1
10.88.182.34,10.21.153.96,1,64,10,160,UDP,[],normal,1
10.50.111.133,10.47.234.144,2,64,8,128,UDP,[],normal,1
10.4.17.118,10.66.232.43,8,159,6,38,ICMP,[],normal,1
10.68.156.223,10.87.151.134,1,104,3,29,TCP,[],normal,1
10.7.65.199,10.5.68.246,1,131,10,78,TCP,[],normal,1
10.70.37.90,10.3.233.208,1,93,2,22,ICMP,[],normal,1
10.14.246.88,10.51.127.199,1,91,1,11,TCP,[],normal,1
10.1.71.210,10.97.150.58,3,178,34,195,TCP,[],normal,1
10.68.68.166,10.21.255.177,1,159,26,167,TCP,[],normal,1
10.66.191.75,10.58.8.41,1,64,1,16,TCP,[],normal,1
10.88.73.224,10.64.73.48,1,86,3,35,TCP,[],normal,1
10.28.113.34,10.41.157.238,1,84,22,268,TCP,[],normal,1
10.66.111.142,10.37.64.150,1,145,9,63,UDP,[],normal,1
10.17.78.244,10.1.95.8,1,104,10,98,UDP,[],normal,1
10.52.16.208,10.9.16.241,1,122,15,125,UDP,[],normal,1
10.50.160.23,10.52.93.75,2,70,1,14,ICMP,[],normal,1
10.74.135.67,10.4.22.8,1,237,6,25,UDP,[],normal,1
10.97.168.134,10.66.203.47,2,152,10,67,UDP,[],normal,1
10.54.39.38,10.48.145.160,3,211,2,9,UDP,[],normal,1
10.68.166.225,10.41.22.1,3,76,26,350,TCP,[],normal,1
10.53.159.71,10.27.107.111,2,71,15,216,TCP,[],normal,1
10.51.180.214,10.82.222.55,1,121,11,93,UDP,[],normal,1
10.18.214.7,10.56.151.129,1,64,6,96,TCP,[],normal,1
10.95.128.171,10.57.165.95,3,161,5,31,TCP,[],normal,1
10.54.167.153,10.40.229.178,1,64,4,64,UDP,[],normal,1
10.63.37.236,10.42.8.6,1,160,3,19,UDP,[],normal,1
10.29.185.5,10.16.52.220,1,147,6,41,UDP,[],normal,1
10.24.78.55,10.84.174.238,1,64,8,128,ICMP,[],normal,1
10.81.122.53,10.30.190.170,2,64,9,144,TCP,[],normal,1
10.4.245.52,10.30.237.141,5,64,11,176,UDP,[],normal,1
10.74.39.221,10.78.9.204,2,114,16,143,TCP,[],normal,1
10.77.119.247,10.50.119.35,1,484,12,25,TCP,[],normal,1
10.70.200.6,10.47.217.35,2,64,5,80,TCP,[],normal,1
10.77.67.216,10.19.157.14,1,64,17,272,UDP,[],normal,1
10.84.56.12,10.29.187.139,1,249,9,37,UDP,[],normal,1
10.87.55.31,10.50.114.172,1,64,23,368,TCP,[],normal,1
10.79.19.150,10.75.144.208,1,64,6,96,UDP,[],normal,1
