src_ip,dst_ip,flow_duration,flow_packet_size,flow_speed,flow_pkts_speed,flow_pkt_type,packets,time
10.4.14.64,10.96.208.169,1,64,14,224,TCP,[],0
10.89.234.74,10.72.48.172,1,114,2,17,UDP,[],0
10.16.124.206,10.38.64.222,1,325,19,59,UDP,[],0
10.42.232.8,10.39.6.191,1,78,28,367,ICMP,[],0
10.46.57.246,10.24.84.220,2,187,17,93,TCP,[],0
10.88.224.252,10.86.41.71,1,89,4,46,UDP,[],0
10.26.41.145,10.22.177.89,1,64,3,48,TCP,[],0
10.94.82.128,10.44.107.85,1,134,7,53,TCP,[],0
10.1.109.139,10.83.187.130,2,243,23,96,UDP,[],0
10.72.200.79,10.50.118.64,1,94,3,32,UDP,[],0
10.29.209.220,10.66.188.243,1,260,8,31,UDP,[],0
10.99.95.244,10.44.132.202,1,215,4,19,TCP,[],0
10.89.239.234,10.19.199.87,1,155,2,13,TCP,[],0
10.32.44.236,10.61.85.237,1,64,5,80,UDP,[],0
10.36.107.143,10.99.148.123,1,175,4,23,TCP,[],0
10.22.39.44,10.84.74.0,1,64,6,96,UDP,[],0
10.24.128.89,10.65.90.237,2,64,1,16,UDP,[],0
10.9.34.127,10.82.132.227,1,64,48,768,TCP,[],0
10.72.40.105,10.59.0.101,1,116,9,79,TCP,[],0
10.42.149.119,10.15.141.52,1,64,2,32,ICMP,[],0
10.1.152.82,10.68.161.195,2,314,6,19,TCP,[],0
10.70.120.139,10.89.215.171,2,143,13,93,TCP,[],0
10.46.18.216,10.40.217.161,1,173,20,118,UDP,[],0
10.20.152.156,10.25.46.135,10,114,3,26,TCP,[],0
10.21.164.176,10.95.52.118,1,110,11,102,UDP,[],0
10.98.99.31,10.6.147.17,5,98,4,41,UDP,[],0
10.59.211.167,10.65.88.179,1,138,11,81,TCP,[],0
10.27.21.97,10.19.87.121,3,185,6,33,UDP,[],0
10.89.9.89,10.8.226.10,1,434,3,7,TCP,[],0
10.8.31.187,10.57.238.171,1,64,6,96,TCP,[],0
10.60.141.13,10.75.106.119,1,109,15,140,TCP,[],0
10.22.52.221,10.1.34.41,1,86,7,83,TCP,[],0
10.13.4.51,10.45.150.254,1,145,4,28,TCP,[],0
10.7.88.229,10.83.146.188,1,64,6,96,TCP,[],0
10.57.119.178,10.9.176.201,3,207,4,19,TCP,[],0
10.29.211.240,10.82.76.204,5,113,9,81,TCP,[],0
10.47.231.221,10.3.105.101,1,92,5,55,UDP,[],0
10.31.202.187,10.91.86.82,6,64,13,208,TCP,[],0
10.83.146.188,10.94.190.28,4,80,20,256,TCP,[],0
10.52.248.49,10.13.74.91,1,64,4,64,TCP,[],0
10.29.5.166,10.82.132.227,1,64,7,112,TCP,[],0
10.58.56.4,10.69.43.103,1,112,6,54,UDP,[],0
10.20.249.177,10.63.243.105,1,138,2,14,TCP,[],0
10.15.46.74,10.98.62.108,1,82,19,237,TCP,[],0
10.66.80.136,10.19.46.203,10,64,17,272,UDP,[],0
10.12.28.216,10.46.130.44,1,102,5,50,TCP,[],0
10.59.25.192,10.48.226.199,1,143,3,21,UDP,[],0
10.96.176.86,10.48.84.213,1,104,11,108,UDP,[],0
10.39.56.218,10.19.9.114,4,64,33,528,TCP,[],0
10.76.33.237,10.35.241.145,1,138,10,74,TCP,[],0
10.35.163.22,10.79.148.178,2,94,30,326,TCP,[],0
10.29.169.204,10.77.179.92,1,126,1,8,TCP,[],0
10.70.100.51,10.67.192.172,9,64,7,112,TCP,[],0
10.68.11.57,10.16.198.33,1,181,3,16,TCP,[],0
10.75.51.123,10.38.86.242,1,64,17,272,UDP,[],0
10.21.176.41,10.69.107.232,1,64,8,128,TCP,[],0
10.29.121.117,10.90.44.106,3,151,6,40,TCP,[],0
10.58.12.233,10.48.50.231,1,70,5,73,TCP,[],0
10.11.201.15,10.70.115.234,1,83,23,283,TCP,[],0
10.6.39.147,10.75.69.64,1,78,7,91,TCP,[],0
10.15.19.29,10.57.196.237,1,80,14,179,TCP,[],0
10.91.2.31,10.57.157.249,1,128,3,24,ICMP,[],0
10.75.4.151,10.25.201.125,1,153,20,133,UDP,[],0
10.33.214.9,10.34.136.234,2,218,11,51,UDP,[],0
10.73.195.194,10.77.202.245,1,64,22,352,ICMP,[],0
10.81.237.40,10.65.80.29,1,114,8,71,UDP,[],0
10.28.109.156,10.61.255.2,1,143,8,57,TCP,[],0
10.13.38.186,10.83.15.8,2,64,9,144,TCP,[],0
10.80.24.130,10.48.157.178,3,64,3,48,ICMP,[],0
10.65.183.193,10.7.161.85,4,134,13,99,TCP,[],0
10.1.46.87,10.69.103.31,1,111,4,36,UDP,[],0
10.30.197.96,10.28.233.57,1,64,26,416,UDP,[],0
10.16.84.226,10.73.148.209,1,166,9,55,UDP,[],0
10.1.146.118,10.42.231.147,1,64,14,224,ICMP,[],0
10.91.251.251,10.42.193.144,2,138,8,59,UDP,[],0
10.79.66.233,10.68.40.135,4,136,7,52,TCP,[],0
10.2.230.203,10.37.167.20,1,288,3,10,ICMP,[],0
10.97.31.225,10.57.159.72,1,251,19,77,TCP,[],0
10.38.141.85,10.9.216.111,3,64,4,64,TCP,[],0
10.35.2.126,10.2.203.67,1,64,11,176,TCP,[],0
10.67.100.44,10.15.116.9,1,64,24,384,TCP,[],0
10.89.172.229,10.21.226.129,7,318,12,38,ICMP,[],0
10.74.149.215,10.2.63.156,1,70,5,73,TCP,[],0
10.90.122.223,10.72.223.234,1,160,10,64,UDP,[],0
10.0.197.161,10.45.127.74,3,118,11,95,TCP,[],0
10.38.160.124,10.75.245.136,1,108,8,75,ICMP,[],0
10.27.76.197,10.62.38.70,3,216,4,18,UDP,[],0
10.62.215.125,10.25.73.68,2,64,3,48,TCP,[],0
10.5.205.36,10.66.123.238,1,125,6,49,TCP,[],0
10.32.73.114,10.51.185.58,4,179,1,5,TCP,[],0
10.31.115.6,10.56.107.52,2,107,8,76,TCP,[],0
10.78.232.37,10.31.35.255,2,64,7,112,UDP,[],0
10.32.150.75,10.85.232.221,2,216,6,28,UDP,[],0
10.3.5.178,10.64.174.233,1,352,6,17,UDP,[],0
10.14.198.232,10.9.64.41,11,64,10,160,TCP,[],0
10.3.152.107,10.82.74.101,3,341,6,18,TCP,[],0
10.87.76.203,10.35.254.250,1,253,4,16,UDP,[],0
10.29.110.243,10.10.153.235,2,268,6,22,UDP,[],0
10.96.164.174,10.34.79.40,1,154,5,33,UDP,[],0
10.88.135.163,10.43.211.22,4,197,10,51,TCP,[],0
10.24.27.160,10.40.165.185,2,64,11,176,ICMP,[],2
10.3.254.129,10.22.197.195,1,64,2,32,UDP,[],2
10.66.66.118,10.27.246.239,1,166,21,129,TCP,[],2
10.17.34.173,10.20.87.125,6,116,14,123,TCP,[],2
10.30.198.49,10.27.107.216,1,103,6,59,TCP,[],2
10.68.161.95,10.6.59.190,2,64,9,144,TCP,[],2
10.62.146.164,10.18.132.252,1,66,3,46,UDP,[],2
10.84.7.136,10.83.47.240,2,388,13,34,TCP,[],2
10.54.112.153,10.32.230.0,1,137,4,29,TCP,[],2
10.20.248.205,10.3.80.166,1,74,5,69,TCP,[],2
10.47.209.229,10.15.80.103,2,189,4,21,UDP,[],2
10.95.73.179,10.21.14.173,1,108,9,85,TCP,[],2
10.48.63.212,10.34.158.144,3,105,8,78,UDP,[],2
10.51.20.180,10.89.18.171,1,74,5,69,TCP,[],2
10.65.125.216,10.11.139.117,4,84,23,280,UDP,[],2
10.73.124.20,10.90.231.229,1,64,11,176,TCP,[],2
10.67.169.17,10.76.92.11,2,64,10,160,TCP,[],2
10.36.180.82,10.28.107.0,3,228,13,58,UDP,[],2
