src_ip,dst_ip,flow_duration,flow_packet_size,flow_speed,flow_pkts_speed,flow_pkt_type,packets,label,time
10.98.204.164,10.7.14.4,1,131,15,117,TCP,[],normal,27
10.62.116.255,10.32.90.109,1,253,16,64,TCP,[],normal,27
10.59.115.87,10.39.184.229,5,216,10,47,TCP,[],normal,27
10.70.32.57,10.43.75.252,3,64,8,128,TCP,[],normal,27
10.95.3.203,10.70.180.84,1,64,31,496,UDP,[],normal,27
10.18.85.166,10.48.156.165,1,64,14,224,TCP,[],normal,27
10.47.215.35,10.40.36.36,1,64,13,208,UDP,[],normal,27
10.34.21.219,10.79.113.200,3,122,13,109,UDP,[],normal,27
10.8.226.212,10.35.159.160,1,206,11,54,UDP,[],normal,27
10.48.76.13,10.69.47.5,2,139,28,206,TCP,[],normal,27
10.60.250.62,10.3.229.253,2,291,17,59,UDP,[],normal,27
10.67.117.218,10.27.72.4,1,265,5,19,TCP,[],normal,27
10.31.61.3,10.46.41.189,1,64,4,64,TCP,[],normal,27
10.87.3.48,10.47.247.79,3,144,11,78,UDP,[],normal,27
10.83.173.222,10.6.168.199,1,68,1,15,TCP,[],normal,27
10.66.35.62,10.85.126.190,1,348,4,11,TCP,[],normal,27
10.58.187.84,10.94.93.172,2,83,12,148,ICMP,[],normal,27
10.41.120.123,10.99.213.230,1,108,21,199,UDP,[],normal,27
10.21.49.31,10.2.113.78,1,79,30,388,TCP,[],normal,27
10.27.22.6,10.51.81.232,1,86,7,83,TCP,[],normal,27
10.42.13.34,10.72.226.207,3,64,9,144,TCP,[],normal,27
10.45.155.255,10.9.62.38,2,129,18,142,TCP,[],normal,27
10.71.20.240,10.99.217.227,1,64,10,160,ICMP,[],normal,27
10.58.49.136,10.53.115.87,3,64,11,176,TCP,[],normal,27
10.46.240.28,10.56.250.35,1,172,3,17,UDP,[],normal,27
10.31.208.205,10.55.246.76,1,64,4,64,TCP,[],normal,27
10.77.173.215,10.76.1.245,5,85,10,120,TCP,[],normal,27
10.37.170.71,10.25.27.4,2,64,27,432,TCP,[],normal,27
10.40.78.164,10.2.100.117,3,74,1,13,UDP,[],normal,27
10.92.242.187,10.23.55.252,3,64,31,496,UDP,[],normal,27
10.18.85.114,10.28.110.113,3,64,15,240,UDP,[],normal,27
10.70.216.207,10.24.57.160,3,64,1,16,ICMP,[],normal,27
10.37.160.220,10.92.80.178,3,136,13,97,TCP,[],normal,27
10.81.10.236,10.40.72.70,1,211,3,14,TCP,[],normal,27
10.6.9.38,10.57.246.212,1,83,4,49,TCP,[],normal,27
10.75.202.60,10.31.126.99,5,74,8,110,TCP,[],normal,27
10.93.207.131,10.75.163.143,1,64,4,64,TCP,[],normal,27
10.24.114.214,10.12.88.178,2,113,2,18,TCP,[],normal,27
10.41.217.135,10.69.140.246,1,64,8,128,UDP,[],normal,27
10.5.0.34,10.30.154.31,1,64,14,224,TCP,[],normal,27
10.0.158.11,10.99.64.120,1,149,1,6,TCP,[],normal,27
10.4.239.182,10.99.154.189,1,64,10,160,TCP,[],normal,27
10.2.229.245,10.64.228.146,1,64,26,416,UDP,[],normal,27
10.27.99.254,10.30.239.165,1,211,1,4,UDP,[],normal,27
10.52.130.74,10.71.251.99,3,64,9,144,UDP,[],normal,27
10.53.158.176,10.98.20.57,1,196,4,20,UDP,[],normal,27
10.25.112.27,10.78.97.238,1,115,7,62,ICMP,[],normal,27
10.15.246.107,10.92.225.239,3,135,8,60,UDP,[],normal,27
10.64.122.151,10.65.174.22,2,194,3,15,UDP,[],normal,27
10.23.162.118,10.3.174.156,1,115,5,44,TCP,[],normal,27
10.77.63.96,10.39.12.219,6,132,2,15,UDP,[],normal,27
10.44.151.253,10.87.134.60,1,135,14,106,TCP,[],normal,27
10.1.61.164,10.22.172.111,1,126,31,251,ICMP,[],normal,27
10.9.215.104,10.4.202.17,1,64,19,304,UDP,[],normal,27
10.22.151.149,10.16.86.11,1,111,24,221,TCP,[],normal,27
10.7.57.174,10.51.20.147,1,283,13,47,TCP,[],normal,27
10.80.243.72,10.78.252.81,1,64,2,32,UDP,[],normal,27
10.27.117.122,10.51.210.166,1,82,4,49,TCP,[],normal,27
10.12.231.249,10.7.62.209,2,96,6,64,TCP,[],normal,27
10.6.75.13,10.40.87.156,1,64,5,80,TCP,[],normal,27
10.6.141.180,10.2.216.246,1,64,15,240,UDP,[],normal,27
10.14.78.187,10.92.200.183,1,105,36,351,TCP,[],normal,27
10.99.27.197,10.77.103.200,2,76,6,80,UDP,[],normal,27
10.8.60.64,10.97.107.236,1,64,18,288,UDP,[],normal,27
10.88.183.120,10.82.126.185,2,67,10,152,TCP,[],normal,27
10.68.140.159,10.96.44.178,1,64,6,96,UDP,[],normal,27
10.39.122.53,10.82.23.14,1,64,16,256,UDP,[],normal,27
10.51.170.199,10.59.112.58,5,120,11,93,TCP,[],normal,27
10.50.188.56,10.93.117.218,3,64,5,80,UDP,[],normal,27
10.55.167.26,10.62.97.109,3,202,21,106,TCP,[],normal,27
10.53.58.242,10.90.13.166,1,153,5,33,UDP,[],normal,27
10.71.200.36,10.81.148.200,1,106,1,9,TCP,[],normal,27
10.15.38.111,10.43.113.216,3,179,17,97,UDP,[],normal,27
10.78.233.199,10.83.225.131,1,116,3,26,TCP,[],normal,27
10.33.247.234,10.89.122.76,2,74,7,96,UDP,[],normal,27
10.86.20.122,10.16.173.214,3,99,9,93,TCP,[],normal,27
10.42.79.215,10.63.242.21,1,114,11,98,TCP,[],normal,27
10.71.110.228,10.35.145.72,1,66,6,93,TCP,[],normal,27
10.39.99.62,10.5.58.147,1,64,2,32,UDP,[],normal,27
10.41.199.110,10.30.214.161,2,64,6,96,UDP,[],normal,27
10.41.5.143,10.76.122.25,1,119,8,68,UDP,[],normal,27
10.98.132.55,10.86.173.201,3,70,2,29,TCP,[],normal,27
10.18.186.126,10.13.138.145,1,140,10,73,UDP,[],normal,27
10.65.173.54,10.5.71.66,1,160,2,12,TCP,[],normal,27
10.32.75.110,10.90.201.33,1,115,4,35,UDP,[],normal,27
10.90.231.10,10.45.175.24,2,403,16,40,UDP,[],normal,27
10.60.235.61,10.55.111.15,1,64,3,48,TCP,[],normal,27
10.67.184.136,10.63.67.86,1,64,1,16,UDP,[],normal,27
10.18.127.255,10.42.252.69,4,64,7,112,UDP,[],normal,27
10.76.166.201,10.23.59.164,1,136,12,90,TCP,[],normal,27
